# Delta Hedging Results
# Cumulative Cost: 0.28065255497657843
# Final P&L: 31.91792491455823
# Hedging Error: 31.91792491455823
# Option Type: call
timestamp,stock_price,hedge_position,portfolio_pnl
2021-04-14,128.716995,-0.92816088,-88.13178318689322
2021-04-15,131.125,-0.94001558,-89.67313621177512
2021-04-16,130.793488,-0.93849325,-89.47397302708171
2021-04-19,131.456467,-0.94150431,-89.86918647630803
2021-04-20,129.769882,-0.93357568,-88.83475594748452
2021-04-21,130.150101,-0.93544124,-89.07744578420244
2021-04-22,128.629242,-0.92769266,-88.07595427737287
2021-04-23,130.949493,-0.93921384,-89.57244947187203
2021-04-26,131.339462,-0.94098258,-89.8046414192209
2021-04-27,131.017761,-0.93952681,-89.6138673880473
2021-04-28,130.228058,-0.93581801,-89.12990841592097
2021-04-29,130.1306,-0.93534669,-89.06861364306477
2021-04-30,128.161316,-0.92515083,-87.7533802514784
2021-05-03,129.214142,-0.93076388,-88.47640282441685
2021-05-04,124.641869,-0.90343441,-85.01391444315776
2021-05-05,124.885582,-0.90509459,-85.22125103159237
2021-05-06,126.484428,-0.91539476,-86.51699581829901
2021-05-07,127.158257,-0.91943948,-87.03045821883336
2021-05-10,123.876999,-0.89806357,-84.35122447145513
2021-05-11,122.959023,-0.89128762,-83.51581164001584
2021-05-12,119.892639,-0.86588166,-80.43503993951207
2021-05-13,122.041084,-0.88413958,-82.64547862726442
2021-05-14,124.462944,-0.90219997,-84.87318906898057
2021-05-17,123.310593,-0.89392598,-83.8492266885884
2021-05-18,121.923889,-0.88319951,-82.5353828317143
2021-05-19,121.767632,-0.88193629,-82.38161923709329
2021-05-20,124.326233,-0.90124779,-84.75962628525166
